Airline	April 04, 2023	April 13, 2023	April 27, 2023	May 11, 2023	June 24, 2023	July 08, 2023	August 05, 2023	September 01, 2023	September 02, 2023	September 16, 2023	October 03, 2023	October 14, 2023	October 17, 2023
Kangaroo Airlines	0	0	0	0	0	0	0	0	0	0	0	0	0
Karoline	18	23	24	0	5	11	14	0	18	27	42	46	46
Keystone Air	59	77	89	93	99	104	0	0	6	6	0	0	0
King Fisher	22	21	23	27	72	89	113	0	0	0	0	0	0
KingFishers	0	0	0	0	0	0	0	0	37	75	113	127	133
KLM	60	75	84	0	6	11	4	0	10	24	40	49	49
KLM Cityhopper	0	0	0	0	0	0	0	0	0	0	0	0	0
Koala Air	331	379	454	578	685	695	711	0	0	0	0	0	0
Konnekt	0	0	0	0	0	0	0	0	0	0	2	2	2
Korean Air	0	0	0	0	0	0	0	0	4	4	0	0	0
Kosair	0	4	4	30	49	49	0	0	0	0	0	0	0
Kosairline	0	5	5	5	0	0	0	0	0	0	0	0	0
Kosairlines	0	5	5	5	0	0	0	0	0	0	0	0	0
KOSOAIR	0	3	6	6	15	0	0	0	0	0	0	0	0
Kotlin	0	0	0	0	0	0	0	0	1	1	0	0	0
Kruskal	9	9	0	0	0	0	0	0	0	0	0	0	0
KSK Airline	0	0	0	0	0	0	7	0	0	0	0	0	0
Kuaile Feiji	266	308	368	368	0	0	0	0	0	0	0	0	0
Kurtisair	0	10	10	10	0	0	0	0	0	0	0	0	0
Kyoto Airways	32	32	32	32	0	0	0	0	0	0	0	0	0
Lake and Forest Air	0	0	0	0	0	0	0	0	19	31	51	60	61
Landmark Airways	0	0	0	0	0	0	3	0	0	0	0	0	0
LATAM	0	0	0	0	0	0	0	0	23	47	56	56	56
LeAfri Airlines	0	0	0	0	4	0	0	0	0	0	0	0	0
Level	170	186	208	246	0	0	0	0	0	0	0	0	0
Leyyanne Air	0	0	0	0	0	0	0	0	0	0	0	0	0
Leyyanne Airlines	0	0	0	0	0	0	0	0	0	0	0	0	0
LiamAir	0	0	0	0	0	0	0	0	0	0	0	0	0
Liberation Airways	0	0	0	0	0	0	0	0	12	0	0	0	0
Liberty Skies	0	0	0	0	0	0	0	0	0	0	0	0	0
Lillicomb Skies	0	0	0	0	2	2	0	0	0	0	0	0	0
Linglong Air	0	0	0	0	0	0	0	0	35	121	188	230	244
Local Transit	0	0	20	33	0	0	0	0	0	0	0	0	0
Logic Air	8	0	0	5	0	0	0	0	0	0	0	0	0
Lone Star Airways	0	0	0	0	0	0	0	0	0	0	0	0	0
Low Safety Air	0	0	15	45	124	152	175	0	0	0	0	0	0
Lufthansa	120	127	138	140	0	0	0	0	10	34	44	44	44
Lulu Airlines	0	0	0	0	0	0	0	0	0	0	6	15	18
LunarWings	0	0	0	0	0	0	0	0	4	24	41	49	49
Mach Two	49	66	84	102	188	202	234	0	0	0	0	0	0
Magnetar Airways	0	0	0	0	0	0	0	0	1	1	0	0	0
Majesty Airways Group	0	0	0	0	0	0	0	0	0	0	0	0	0
Malaysia Airlines	0	0	0	0	0	0	0	0	0	0	0	0	0
Mango Airlink	84	94	97	108	132	145	153	0	0	0	0	0	0
Mango Cats	0	0	0	0	0	0	0	0	57	115	172	247	242
Mango Express	0	0	0	0	0	0	0	0	57	159	247	299	311
Mango Skies	0	0	0	0	0	0	0	0	34	101	163	215	225
Maple Syrup Express	0	0	0	0	0	0	0	0	0	0	0	0	0
Maple Syrup Expresss	0	0	0	0	0	0	0	0	41	91	122	126	126
Mare Caelum	52	68	86	97	161	186	219	0	0	0	0	0	0
Maroc Airlines Group	0	0	0	0	3	5	9	0	0	0	0	0	0
